,Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,Review created,Communicate created,age_till_communicate,age_till_communicate_hours
390,CI-7533,420340,Closed,hilbich,2022-10-11 11:06:00,18/Oct/22 12:00 AM,19/Oct/22 12:48 PM,Expense Development,Service Request (SR),420340,2022-10-11 11:06:00,2022-10-19 12:38:00,8 days 01:32:00.000000000,193.53
391,CI-7532,420296,Closed,ssanz,2022-10-11 10:24:00,18/Oct/22 12:00 AM,13/Oct/22 11:59 AM,Allianz,Service Request (SR),420296,2022-10-11 10:24:00,2022-10-13 11:59:00,2 days 01:35:00.000000000,49.58
392,CI-7531,420170,Closed,yutaka,2022-10-11 04:47:00,18/Oct/22 12:00 AM,08/Nov/22 9:24 AM,Burda,Service Request (SR),420170,2022-10-11 04:47:00,2022-11-08 09:24:00,28 days 04:37:00.000000000,676.62
393,CI-7530,420167,Closed,yutaka,2022-10-11 03:59:00,18/Oct/22 12:00 AM,27/Oct/22 8:42 AM,Amadeus,Service Request (SR),420167,2022-10-11 03:59:00,2022-10-17 11:56:00,6 days 07:57:00.000000000,151.95
394,CI-7529,420157,Closed,yutaka,2022-10-11 03:00:00,14/Oct/22 12:00 AM,27/Oct/22 8:43 AM,ArcelorMittal,Service Request (SR),420157,2022-10-11 03:00:00,2022-10-11 03:10:00,0 days 00:10:00.000000000,0.17
395,CI-7528,420153,Closed,yutaka,2022-10-11 02:39:00,14/Oct/22 12:00 AM,12/Oct/22 11:51 AM,Init AG,Service Request (SR),420153,2022-10-11 02:39:00,2022-10-12 04:00:00,1 days 01:21:00.000000000,25.35
396,CI-7527,420101,Closed,gmalarski,2022-10-10 15:59:00,28/Oct/22 12:00 AM,12/Oct/22 12:01 PM,Customer not yet listed,Incident Request (IR),420101,2022-10-10 15:59:00,,,
397,CI-7526,420085,Communicate,gmalarski,2022-10-10 15:09:00,28/Oct/22 12:00 AM,,Customer not yet listed,Project,420085,2022-10-10 15:09:00,2022-10-24 17:07:00,14 days 01:58:00.000000000,337.97
398,CI-7525,420055,Closed,ssanz,2022-10-10 14:43:00,17/Oct/22 12:00 AM,04/Nov/22 11:23 AM,DER,Service Request (SR),420055,2022-10-10 14:43:00,2022-11-03 13:41:00,23 days 22:58:00.000000000,574.97
399,CI-7524,419972,Closed,ccasper,2022-10-10 12:06:00,14/Oct/22 12:00 AM,27/Oct/22 2:30 PM,dm-drogerie markt,Project,419972,2022-10-10 12:06:00,2022-10-26 11:04:00,15 days 22:58:00.000000000,382.97
400,CI-7522,419953,Closed,ssanz,2022-10-10 11:32:00,17/Oct/22 12:00 AM,04/Nov/22 11:23 AM,DER,Service Request (SR),419953,2022-10-10 11:32:00,2022-10-10 14:52:00,0 days 03:20:00.000000000,3.33
401,CI-7521,419949,Closed,achattopadhyay,2022-10-10 11:25:00,14/Oct/22 12:00 AM,18/Nov/22 5:01 PM,Vaillant,Service Request (SR),419949,2022-10-10 11:25:00,2022-11-18 17:01:00,39 days 05:36:00.000000000,941.6
402,CI-7520,419923,Closed,mueller,2022-10-10 11:07:00,12/Oct/22 12:00 AM,11/Oct/22 11:16 AM,Wacker,Project,419923,2022-10-10 11:07:00,2022-10-11 11:08:00,1 days 00:01:00.000000000,24.02
403,CI-7519,419816,Verify,ebert,2022-10-09 09:54:00,14/Oct/22 12:00 AM,,OBB,Incident Request (IR),419816,2022-10-09 09:54:00,,,
404,CI-7518,419715,Closed,mueller,2022-10-08 10:13:00,11/Oct/22 12:00 AM,13/Oct/22 1:58 PM,Wacker,Project,419715,2022-10-08 10:13:00,2022-10-13 13:29:00,5 days 03:16:00.000000000,123.27
405,CI-7517,419713,Closed,mueller,2022-10-08 10:05:00,12/Oct/22 12:00 AM,12/Oct/22 3:19 PM,Wacker,Project,419713,2022-10-08 10:05:00,2022-10-12 15:19:00,4 days 05:14:00.000000000,101.23
406,CI-7516,419711,Closed,mueller,2022-10-08 09:47:00,10/Oct/22 12:00 AM,14/Oct/22 1:35 PM,Wacker,Project,419711,2022-10-08 09:47:00,2022-10-14 13:28:00,6 days 03:41:00.000000000,147.68
407,CI-7515,419648,Closed,aruizrobles,2022-10-07 14:50:00,14/Oct/22 12:00 AM,18/Oct/22 9:57 AM,Numiga,Service Request (SR),419648,2022-10-07 14:50:00,2022-10-18 09:01:00,10 days 18:11:00.000000000,258.18
408,CI-7514,419635,Closed,salajan,2022-10-07 14:29:00,07/Oct/22 12:00 AM,14/Oct/22 2:40 PM,i:FAO,Service Request (SR),419635,2022-10-07 14:29:00,2022-10-14 14:40:00,7 days 00:11:00.000000000,168.18
409,CI-7513,419604,Closed,mueller,2022-10-07 14:04:00,10/Oct/22 12:00 AM,11/Oct/22 10:33 AM,Wacker,Project,419604,2022-10-07 14:04:00,2022-10-11 10:23:00,3 days 20:19:00.000000000,92.32
410,CI-7512,419601,Closed,aruizrobles,2022-10-07 14:00:00,14/Oct/22 12:00 AM,19/Oct/22 12:04 PM,Numiga,Service Request (SR),419601,2022-10-07 14:00:00,2022-10-19 10:17:00,11 days 20:17:00.000000000,284.28
411,CI-7511,419553,Closed,mueller,2022-10-07 12:48:00,10/Oct/22 12:00 AM,27/Oct/22 4:20 PM,Wacker,Project,419553,2022-10-07 12:48:00,2022-10-27 16:20:00,20 days 03:32:00.000000000,483.53
412,CI-7510,419388,Closed,achattopadhyay,2022-10-06 17:30:00,10/Oct/22 12:00 AM,17/Oct/22 2:14 PM,Heidelberg Cement,Service Request (SR),419388,2022-10-06 17:30:00,2022-10-13 16:27:00,6 days 22:57:00.000000000,166.95
413,CI-7509,419136,Closed,nsanchez,2022-10-06 11:43:00,06/Oct/22 12:00 AM,06/Oct/22 3:15 PM,OBB,Service Request (SR),419136,2022-10-06 11:43:00,2022-10-06 14:44:00,0 days 03:01:00.000000000,3.02
414,CI-7508,419115,Communicate,achattopadhyay,2022-10-06 10:48:00,07/Oct/22 12:00 AM,,Vaillant,Service Request (SR),419115,2022-10-06 10:48:00,2022-10-21 09:52:00,14 days 23:04:00.000000000,359.07
415,CI-7507,419061,Communicate,aselmann,2022-10-06 09:07:00,10/Oct/22 12:00 AM,,Continental,Incident Request (IR),419061,2022-10-06 09:07:00,2022-10-12 11:12:00,6 days 02:05:00.000000000,146.08
416,CI-7506,418957,Closed,mueller,2022-10-05 15:19:00,07/Oct/22 12:00 AM,06/Oct/22 2:29 PM,Wacker,Project,418957,2022-10-05 15:19:00,2022-10-06 14:29:00,0 days 23:10:00.000000000,23.17
417,CI-7505,418923,Closed,ilalov,2022-10-05 14:29:00,06/Oct/22 12:00 AM,07/Oct/22 2:21 PM,Allianz,Service Request (SR),418923,2022-10-05 14:29:00,2022-10-07 14:09:00,1 days 23:40:00.000000000,47.67
418,CI-7504,418920,Review,ilalov,2022-10-05 14:23:00,06/Oct/22 12:00 AM,,,,418920,2022-10-05 14:23:00,,,
419,CI-7503,418915,Closed,aruizrobles,2022-10-05 13:44:00,12/Oct/22 12:00 AM,18/Oct/22 4:29 PM,Fiege,Service Request (SR),418915,2022-10-05 13:44:00,2022-10-18 16:15:00,13 days 02:31:00.000000000,314.52
420,CI-7502,418912,Closed,hilbich,2022-10-05 13:43:00,19/Oct/22 12:00 AM,04/Nov/22 11:45 AM,Expense Development,Service Request (SR),418912,2022-10-05 13:43:00,2022-11-04 11:34:00,29 days 21:51:00.000000000,717.85
421,CI-7501,418909,Closed,hilbich,2022-10-05 13:34:00,19/Oct/22 12:00 AM,03/Nov/22 8:35 AM,Expense Development,Service Request (SR),418909,2022-10-05 13:34:00,2022-10-28 09:14:00,22 days 19:40:00.000000000,547.67
422,CI-7500,418907,Review,hilbich,2022-10-05 13:28:00,04/Nov/22 12:00 AM,,Expense Development,Service Request (SR),418907,2022-10-05 13:28:00,,,
423,CI-7499,418898,Closed,mstaszek,2022-10-05 13:16:00,06/Oct/22 12:00 AM,05/Oct/22 1:19 PM,,,418898,2022-10-05 13:16:00,2022-10-05 13:18:00,0 days 00:02:00.000000000,0.03
424,CI-7498,418880,Closed,aruizrobles,2022-10-05 12:39:00,12/Oct/22 12:00 AM,24/Oct/22 9:35 AM,Numiga,Service Request (SR),418880,2022-10-05 12:39:00,2022-10-24 09:30:00,18 days 20:51:00.000000000,452.85
425,CI-7497,418799,Closed,aruizrobles,2022-10-05 09:34:00,12/Oct/22 12:00 AM,13/Oct/22 9:43 AM,Numiga,Service Request (SR),418799,2022-10-05 09:34:00,2022-10-12 13:00:00,7 days 03:26:00.000000000,171.43
426,CI-7496,418762,Closed,mueller,2022-10-05 07:57:00,06/Oct/22 12:00 AM,06/Oct/22 8:51 AM,Wacker,Project,418762,2022-10-05 07:57:00,2022-10-06 08:45:00,1 days 00:48:00.000000000,24.8
427,CI-7495,418725,Clarify,skarja,2022-10-04 22:13:00,12/Oct/22 12:00 AM,,TUI AG,Service Request (SR),418725,2022-10-04 22:13:00,,,
428,CI-7494,418713,Closed,ccasper,2022-10-04 17:34:00,07/Oct/22 12:00 AM,14/Oct/22 10:07 AM,dm-drogerie markt,Project,418713,2022-10-04 17:34:00,2022-10-11 16:24:00,6 days 22:50:00.000000000,166.83
429,CI-7493,418711,Closed,aruizrobles,2022-10-04 17:31:00,11/Oct/22 12:00 AM,14/Oct/22 3:07 PM,Inetum,Service Request (SR),418711,2022-10-04 17:31:00,2022-10-14 13:32:00,9 days 20:01:00.000000000,236.02
430,CI-7492,418585,Closed,ccasper,2022-10-04 13:23:00,07/Oct/22 12:00 AM,24/Oct/22 4:35 PM,dm-drogerie markt,Project,418585,2022-10-04 13:23:00,2022-10-17 10:48:00,12 days 21:25:00.000000000,309.42
431,CI-7491,418563,Closed,ssanz,2022-10-04 12:20:00,11/Oct/22 12:00 AM,13/Oct/22 11:47 AM,Hugo Boss,Incident Request (IR),418563,2022-10-04 12:20:00,2022-10-11 12:37:00,7 days 00:17:00.000000000,168.28
432,CI-7490,418519,Closed,skarja,2022-10-04 10:29:00,11/Oct/22 12:00 AM,23/Nov/22 10:29 AM,Eberspacher,Service Request (SR),418519,2022-10-04 10:29:00,2022-11-22 15:06:00,49 days 04:37:00.000000000,1180.62
433,CI-7489,418470,Review,skarja,2022-10-04 07:45:00,11/Oct/22 12:00 AM,,Burda,Service Request (SR),418470,2022-10-04 07:45:00,,,
434,CI-7488,418453,Closed,yutaka,2022-10-04 02:48:00,11/Oct/22 12:00 AM,11/Oct/22 3:21 AM,Amadeus,Service Request (SR),418453,2022-10-04 02:48:00,2022-10-06 02:06:00,1 days 23:18:00.000000000,47.3
435,CI-7487,418374,Closed,ssanz,2022-10-03 14:29:00,10/Oct/22 12:00 AM,06/Oct/22 10:12 AM,Allianz,Service Request (SR),418374,2022-10-03 14:29:00,2022-10-04 17:43:00,1 days 03:14:00.000000000,27.23
436,CI-7486,418256,Configure,yutaka,2022-10-03 06:41:00,10/Oct/22 12:00 AM,,Continental,Service Request (SR),418256,2022-10-03 06:41:00,,,
437,CI-7485,418250,Closed,yutaka,2022-10-03 02:53:00,06/Oct/22 12:00 AM,12/Oct/22 11:53 AM,Hugo Boss,Service Request (SR),418250,2022-10-03 02:53:00,2022-10-12 09:59:00,9 days 07:06:00.000000000,223.1
438,CI-7484,418139,Communicate,achattopadhyay,2022-09-30 13:25:00,30/Sep/22 12:00 AM,,Heidelberg Cement,Service Request (SR),418139,2022-09-30 13:25:00,2022-10-07 15:17:00,7 days 01:52:00.000000000,169.87
439,CI-7483,418062,Closed,nsanchez,2022-09-30 10:46:00,11/Oct/22 12:00 AM,18/Oct/22 2:15 PM,Grupo Red Electrica,Service Request (SR),418062,2022-09-30 10:46:00,2022-10-18 12:51:00,18 days 02:05:00.000000000,434.08
440,CI-7482,418023,Closed,ssanz,2022-09-30 09:29:00,07/Oct/22 12:00 AM,06/Oct/22 10:12 AM,Allianz,Service Request (SR),418023,2022-09-30 09:29:00,2022-10-06 08:29:00,5 days 23:00:00.000000000,143.0
441,CI-7481,418021,Configure,ccasper,2022-09-30 09:28:00,05/Oct/22 12:00 AM,,KPMG,Project,418021,2022-09-30 09:28:00,,,
442,CI-7480,418004,Closed,nsanchez,2022-09-30 08:59:00,07/Oct/22 12:00 AM,17/Oct/22 12:59 PM,Continental,Service Request (SR),418004,2022-09-30 08:59:00,2022-10-17 12:50:00,17 days 03:51:00.000000000,411.85
443,CI-7479,417958,Closed,aruizrobles,2022-09-29 18:09:00,06/Oct/22 12:00 AM,11/Oct/22 5:44 PM,Inetum,Service Request (SR),417958,2022-09-29 18:09:00,2022-10-11 12:37:00,11 days 18:28:00.000000000,282.47
444,CI-7478,417950,Closed,aruizrobles,2022-09-29 17:26:00,06/Oct/22 12:00 AM,10/Oct/22 4:53 PM,Inetum,Service Request (SR),417950,2022-09-29 17:26:00,,,
445,CI-7477,417939,Closed,bonnavion,2022-09-29 16:43:00,07/Oct/22 12:00 AM,21/Oct/22 1:32 PM,TM Con,Service Request (SR),417939,2022-09-29 16:43:00,2022-10-17 12:44:00,17 days 20:01:00.000000000,428.02
446,CI-7476,417935,Closed,ssanz,2022-09-29 16:35:00,06/Oct/22 12:00 AM,06/Oct/22 10:12 AM,Allianz,Service Request (SR),417935,2022-09-29 16:35:00,2022-10-04 17:26:00,5 days 00:51:00.000000000,120.85
447,CI-7475,417874,Import in Production,nsanchez,2022-09-29 13:35:00,10/Oct/22 12:00 AM,,OBB,Service Request (SR),417874,2022-09-29 13:35:00,,,
448,CI-7474,417868,Closed,ssanz,2022-09-29 13:15:00,06/Oct/22 12:00 AM,19/Oct/22 5:45 PM,Numiga,Incident Request (IR),417868,2022-09-29 13:15:00,2022-10-17 12:50:00,17 days 23:35:00.000000000,431.58
449,CI-7473,417858,Closed,nsanchez,2022-09-29 12:42:00,06/Oct/22 12:00 AM,06/Oct/22 4:27 PM,Traton SE,Incident Request (IR),417858,2022-09-29 12:42:00,2022-10-06 16:19:00,7 days 03:37:00.000000000,171.62
450,CI-7472,417808,Closed,ssanz,2022-09-29 11:00:00,06/Oct/22 12:00 AM,03/Oct/22 12:53 PM,Allianz,Incident Request (IR),417808,2022-09-29 11:00:00,2022-09-29 15:46:00,0 days 04:46:00.000000000,4.77
451,CI-7471,417754,Closed,nsanchez,2022-09-29 08:39:00,01/Oct/22 12:00 AM,03/Oct/22 12:31 PM,Daimler (MFTBC),Service Request (SR),417754,2022-09-29 08:39:00,2022-10-03 10:45:00,4 days 02:06:00.000000000,98.1
452,CI-7470,417730,Closed,aruizrobles,2022-09-28 17:53:00,14/Oct/22 12:00 AM,13/Oct/22 6:08 PM,ProcurX,Service Request (SR),417730,2022-09-28 17:53:00,2022-10-06 08:29:00,7 days 14:36:00.000000000,182.6
453,CI-7469,417657,Closed,nsanchez,2022-09-28 13:55:00,06/Oct/22 12:00 AM,13/Oct/22 10:26 AM,EnBW,Incident Request (IR),417657,2022-09-28 13:55:00,2022-10-07 15:20:00,9 days 01:25:00.000000000,217.42
454,CI-7468,417635,Review,tuemce,2022-09-28 13:15:00,28/Oct/22 12:00 AM,,,,417635,2022-09-28 13:15:00,,,
455,CI-7467,417462,Configure,hilbich,2022-09-28 08:23:00,05/Oct/22 12:00 AM,,Amadeus,Incident Request (IR),417462,2022-09-28 08:23:00,,,
456,CI-7466,417455,Closed,nsanchez,2022-09-28 08:11:00,03/Oct/22 12:00 AM,03/Oct/22 2:18 PM,Porsche,Service Request (SR),417455,2022-09-28 08:11:00,2022-10-03 12:58:00,5 days 04:47:00.000000000,124.78
457,CI-7465,417424,Communicate,bonnavion,2022-09-27 16:38:00,04/Oct/22 12:00 AM,,TM Con,Service Request (SR),417424,2022-09-27 16:38:00,2022-10-18 14:32:00,20 days 21:54:00.000000000,501.9
458,CI-7464,417420,Closed,bonnavion,2022-09-27 16:22:00,04/Oct/22 12:00 AM,13/Oct/22 4:26 PM,TM Con,Service Request (SR),417420,2022-09-27 16:22:00,2022-10-12 12:59:00,14 days 20:37:00.000000000,356.62
459,CI-7463,417414,Closed,ccasper,2022-09-27 15:54:00,30/Sep/22 12:00 AM,17/Oct/22 9:08 AM,dm-drogerie markt,Project,417414,2022-09-27 15:54:00,,,
460,CI-7462,417367,Closed,nsanchez,2022-09-27 14:48:00,06/Oct/22 12:00 AM,05/Oct/22 11:53 AM,Vaillant,Incident Request (IR),417367,2022-09-27 14:48:00,2022-09-29 11:50:00,1 days 21:02:00.000000000,45.03
461,CI-7461,417196,Closed,hilbich,2022-09-27 08:34:00,04/Oct/22 12:00 AM,11/Oct/22 9:37 AM,Burda,Incident Request (IR),417196,2022-09-27 08:34:00,2022-10-06 10:26:00,9 days 01:52:00.000000000,217.87
462,CI-7460,417190,Configure,hilbich,2022-09-27 08:19:00,04/Oct/22 12:00 AM,,Continental,Incident Request (IR),417190,2022-09-27 08:19:00,,,
463,CI-7459,417132,Closed,ssanz,2022-09-26 16:11:00,03/Oct/22 12:00 AM,16/Nov/22 2:16 PM,Bentley,Service Request (SR),417132,2022-09-26 16:11:00,2022-11-09 15:06:00,43 days 22:55:00.000000000,1054.92
464,CI-7458,416956,Closed,ssanz,2022-09-26 11:00:00,03/Oct/22 12:00 AM,31/Oct/22 9:53 AM,Endress Hauser,Service Request (SR),416956,2022-09-26 11:00:00,2022-10-20 11:45:00,24 days 00:45:00.000000000,576.75
465,CI-7457,416855,Closed,aruizrobles,2022-09-23 14:50:00,30/Sep/22 12:00 AM,30/Sep/22 9:50 AM,Numiga,Service Request (SR),416855,2022-09-23 14:50:00,2022-09-30 08:54:00,6 days 18:04:00.000000000,162.07
466,CI-7456,416757,Closed,ccasper,2022-09-23 10:46:00,23/Sep/22 12:00 AM,23/Sep/22 1:25 PM,i:FAO,Project,416757,2022-09-23 10:46:00,2022-09-23 13:23:00,0 days 02:37:00.000000000,2.62
467,CI-7455,416748,Review,gmalarski,2022-09-23 10:36:00,31/Dec/24 12:00 AM,,Customer not yet listed,Project,416748,2022-09-23 10:36:00,,,
468,CI-7454,416728,Review,gmalarski,2022-09-23 09:59:00,31/Dec/24 12:00 AM,,Customer not yet listed,Project,416728,2022-09-23 09:59:00,,,
469,CI-7453,416695,Closed,tsteinhaeuser,2022-09-23 09:06:00,30/Sep/22 12:00 AM,28/Nov/22 10:34 AM,cytric Expense,Service Request (SR),416695,2022-09-23 09:06:00,2022-11-24 14:15:00,62 days 05:09:00.000000000,1493.15
470,CI-7452,416669,Closed,skarja,2022-09-22 22:10:00,29/Sep/22 12:00 AM,18/Nov/22 2:29 AM,Porsche,Service Request (SR),416669,2022-09-22 22:10:00,2022-10-26 11:04:00,33 days 12:54:00.000000000,804.9
471,CI-7451,416654,Review,gmalarski,2022-09-22 16:56:00,31/Dec/24 12:00 AM,,Customer not yet listed,Project,416654,2022-09-22 16:56:00,,,
472,CI-7450,416652,Review,gmalarski,2022-09-22 16:55:00,31/Dec/24 12:00 AM,,Customer not yet listed,Project,416652,2022-09-22 16:55:00,,,
473,CI-7449,416650,Review,gmalarski,2022-09-22 16:51:00,31/Dec/24 12:00 AM,,Customer not yet listed,Project,416650,2022-09-22 16:51:00,,,
474,CI-7448,416648,Review,gmalarski,2022-09-22 16:49:00,31/Dec/24 12:00 AM,,Customer not yet listed,Project,416648,2022-09-22 16:49:00,,,
475,CI-7447,416646,Review,gmalarski,2022-09-22 16:41:00,31/Dec/24 12:00 AM,,Customer not yet listed,Project,416646,2022-09-22 16:41:00,,,
476,CI-7446,416643,Review,gmalarski,2022-09-22 16:38:00,31/Dec/24 12:00 AM,,Customer not yet listed,Project,416643,2022-09-22 16:38:00,,,
477,CI-7445,416634,Review,gmalarski,2022-09-22 16:28:00,31/Dec/24 12:00 AM,,Customer not yet listed,Project,416634,2022-09-22 16:28:00,,,
478,CI-7444,416632,Review,gmalarski,2022-09-22 16:23:00,31/Dec/24 12:00 AM,,Customer not yet listed,Project,416632,2022-09-22 16:23:00,,,
479,CI-7442,416580,Closed,ssanz,2022-09-22 12:44:00,29/Sep/22 12:00 AM,22/Dec/22 2:44 PM,Egis,Service Request (SR),416580,2022-09-22 12:44:00,2022-12-22 09:25:00,90 days 20:41:00.000000000,2180.68
480,CI-7441,416524,Closed,fkazmierczak,2022-09-22 09:09:00,07/Oct/22 12:00 AM,02/Nov/22 11:18 AM,Allianz,Service Request (SR),416524,2022-09-22 09:09:00,2022-11-02 11:18:00,41 days 02:09:00.000000000,986.15
481,CI-7440,416504,Closed,skarja,2022-09-22 01:15:00,29/Sep/22 12:00 AM,05/Oct/22 1:03 AM,Porsche,Service Request (SR),416504,2022-09-22 01:15:00,2022-09-27 12:31:00,5 days 11:16:00.000000000,131.27
482,CI-7439,416501,Closed,skarja,2022-09-21 22:29:00,29/Sep/22 12:00 AM,18/Nov/22 1:54 AM,OBB,Service Request (SR),416501,2022-09-21 22:29:00,2022-10-06 08:24:00,14 days 09:55:00.000000000,345.92
483,CI-7438,416342,Closed,yutaka,2022-09-21 12:10:00,30/Sep/22 12:00 AM,11/Oct/22 3:23 AM,Spiegel,Service Request (SR),416342,2022-09-21 12:10:00,2022-10-06 08:26:00,14 days 20:16:00.000000000,356.27
484,CI-7437,416334,Closed,gmalarski,2022-09-21 12:05:00,07/Oct/22 12:00 AM,03/Nov/22 11:57 AM,Customer not yet listed,Service Request (SR),416334,2022-09-21 12:05:00,2022-09-27 13:44:00,6 days 01:39:00.000000000,145.65
485,CI-7436,416290,Closed,yutaka,2022-09-21 10:53:00,30/Sep/22 12:00 AM,12/Oct/22 12:55 PM,Lufthansa City Center,Service Request (SR),416290,2022-09-21 10:53:00,2022-09-29 14:37:00,8 days 03:44:00.000000000,195.73
486,CI-7435,416184,Closed,yutaka,2022-09-21 02:12:00,28/Sep/22 12:00 AM,05/Oct/22 2:36 AM,Porsche,Service Request (SR),416184,2022-09-21 02:12:00,2022-09-28 12:13:00,7 days 10:01:00.000000000,178.02
487,CI-7434,416181,Closed,yutaka,2022-09-21 01:20:00,28/Sep/22 12:00 AM,27/Sep/22 11:07 AM,Spiegel,Service Request (SR),416181,2022-09-21 01:20:00,2022-09-22 11:34:00,1 days 10:14:00.000000000,34.23
488,CI-7433,416111,Closed,salajan,2022-09-20 15:31:00,30/Sep/22 12:00 AM,21/Oct/22 3:59 PM,i:FAO,Service Request (SR),416111,2022-09-20 15:31:00,2022-10-21 15:59:00,31 days 00:28:00.000000000,744.47
489,CI-7432,416064,Closed,hilbich,2022-09-20 14:31:00,30/Sep/22 12:00 AM,01/Nov/22 12:46 PM,Expense Development,Service Request (SR),416064,2022-09-20 14:31:00,2022-10-25 08:22:00,34 days 17:51:00.000000000,833.85
490,CI-7431,415986,Closed,yutaka,2022-09-20 11:43:00,27/Sep/22 12:00 AM,13/Oct/22 9:50 AM,Grupo Red Electrica,Service Request (SR),415986,2022-09-20 11:43:00,2022-10-12 11:28:00,21 days 23:45:00.000000000,527.75
491,CI-7430,415914,Closed,yutaka,2022-09-20 09:23:00,30/Sep/22 12:00 AM,15/Nov/22 9:15 AM,Continental,Service Request (SR),415914,2022-09-20 09:23:00,2022-11-08 12:56:00,49 days 03:33:00.000000000,1179.55
492,CI-7429,415891,Closed,yutaka,2022-09-20 08:46:00,23/Sep/22 12:00 AM,22/Sep/22 4:05 AM,Eberspacher,Service Request (SR),415891,2022-09-20 08:46:00,2022-09-20 12:06:00,0 days 03:20:00.000000000,3.33
493,CI-7426,415818,Closed,yutaka,2022-09-20 02:07:00,22/Sep/22 12:00 AM,20/Sep/22 12:15 PM,Grupo Red Electrica,Service Request (SR),415818,2022-09-20 02:07:00,2022-09-20 09:30:00,0 days 07:23:00.000000000,7.38
494,CI-7425,415806,Closed,ccasper,2022-09-19 17:47:00,20/Sep/22 12:00 AM,23/Sep/22 9:34 AM,dm-drogerie markt,Project,415806,2022-09-19 17:47:00,2022-09-23 09:33:00,3 days 15:46:00.000000000,87.77
495,CI-7424,415790,Review,arastrilla,2022-09-19 16:35:00,22/Sep/22 12:00 AM,,i:FAO,Project,415790,2022-09-19 16:35:00,,,
496,CI-7423,415783,Closed,aruizrobles,2022-09-19 16:21:00,26/Sep/22 12:00 AM,26/Sep/22 9:33 AM,Numiga,Service Request (SR),415783,2022-09-19 16:21:00,2022-09-26 09:24:00,6 days 17:03:00.000000000,161.05
497,CI-7422,415482,Closed,devries,2022-09-19 09:58:00,19/Sep/22 12:00 AM,19/Sep/22 10:01 AM,vegas,Service Request (SR),415482,2022-09-19 09:58:00,2022-09-19 10:01:00,0 days 00:03:00.000000000,0.05
498,CI-7421,415131,Closed,skarja,2022-09-16 11:20:00,23/Sep/22 12:00 AM,18/Nov/22 1:53 AM,OBB,Service Request (SR),415131,2022-09-16 11:20:00,2022-09-22 11:21:00,6 days 00:01:00.000000000,144.02
499,CI-7420,415068,Closed,yutaka,2022-09-16 10:20:00,22/Sep/22 12:00 AM,13/Oct/22 10:32 AM,Endress Hauser,Incident Request (IR),415068,2022-09-16 10:20:00,2022-10-03 11:00:00,17 days 00:40:00.000000000,408.67
500,CI-7419,414973,Closed,salajan,2022-09-16 08:23:00,16/Sep/22 12:00 AM,26/Dec/22 3:01 PM,i:FAO,Service Request (SR),414973,2022-09-16 08:23:00,,,
501,CI-7418,414935,Closed,yutaka,2022-09-16 04:40:00,21/Sep/22 12:00 AM,06/Oct/22 4:19 AM,VW,Service Request (SR),414935,2022-09-16 04:40:00,2022-09-20 12:07:00,4 days 07:27:00.000000000,103.45
502,CI-7417,414890,Closed,aruizrobles,2022-09-15 17:56:00,23/Sep/22 12:00 AM,07/Oct/22 9:02 AM,Numiga,Service Request (SR),414890,2022-09-15 17:56:00,2022-10-06 08:31:00,20 days 14:35:00.000000000,494.58
503,CI-7416,414697,Configure,achattopadhyay,2022-09-15 12:45:00,21/Sep/22 12:00 AM,,Vaillant,Service Request (SR),414697,2022-09-15 12:45:00,,,
504,CI-7415,414517,Closed,aruizrobles,2022-09-15 10:03:00,22/Sep/22 12:00 AM,22/Sep/22 5:52 PM,Numiga,Service Request (SR),414517,2022-09-15 10:03:00,2022-09-22 11:22:00,7 days 01:19:00.000000000,169.32
505,CI-7414,414513,Closed,mueller,2022-09-15 09:56:00,28/Oct/22 12:00 AM,04/Nov/22 8:01 AM,ARD.ZDF,Project,414513,2022-09-15 09:56:00,2022-11-04 08:01:00,49 days 22:05:00.000000000,1198.08
506,CI-7413,414502,Communicate,achattopadhyay,2022-09-15 09:47:00,20/Sep/22 12:00 AM,,Vaillant,Service Request (SR),414502,2022-09-15 09:47:00,2022-09-29 14:40:00,14 days 04:53:00.000000000,340.88
507,CI-7412,414496,Communicate,achattopadhyay,2022-09-15 09:40:00,20/Sep/22 12:00 AM,,Vaillant,Service Request (SR),414496,2022-09-15 09:40:00,2022-09-21 12:09:00,6 days 02:29:00.000000000,146.48
508,CI-7411,414491,Communicate,achattopadhyay,2022-09-15 09:33:00,20/Sep/22 12:00 AM,,Vaillant,Service Request (SR),414491,2022-09-15 09:33:00,2022-09-19 11:58:00,4 days 02:25:00.000000000,98.42
509,CI-7410,414487,Closed,achattopadhyay,2022-09-15 09:30:00,20/Sep/22 12:00 AM,18/Nov/22 5:00 PM,Vaillant,Service Request (SR),414487,2022-09-15 09:30:00,2022-11-18 17:00:00,64 days 07:30:00.000000000,1543.5
510,CI-7409,414401,Communicate,skarja,2022-09-15 03:13:00,22/Sep/22 12:00 AM,,Porsche,Service Request (SR),414401,2022-09-15 03:14:00,2022-09-22 11:36:00,7 days 08:23:00.000000000,176.38
511,CI-7408,414387,Closed,aruizrobles,2022-09-14 17:44:00,20/Sep/22 12:00 AM,23/Sep/22 9:19 AM,Numiga,Service Request (SR),414387,2022-09-14 17:44:00,2022-09-23 09:02:00,8 days 15:18:00.000000000,207.3
