,Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,Review created,Communicate created,age_till_communicate,age_till_communicate_hours
1311,CI-6589,374996,Closed,ssanz,2022-03-11 12:56:00,18/Mar/22 12:00 AM,23/Mar/22 2:52 PM,Grupo Red Electrica,Incident Request (IR),374996,2022-03-11 12:56:00,,,
1312,CI-6588,374955,Closed,nsanchez,2022-03-11 11:56:00,21/Mar/22 12:00 AM,28/Apr/22 9:14 AM,OBB,Service Request (SR),374955,2022-03-11 11:56:00,2022-04-08 11:40:00,27 days 23:44:00.000000000,671.73
1313,CI-6587,374885,Closed,hilbich,2022-03-11 09:08:00,18/Mar/22 12:00 AM,11/Mar/22 9:16 AM,CEPSA,Incident Request (IR),374885,2022-03-11 09:09:00,,,
1314,CI-6586,374847,Closed,guinoo,2022-03-11 01:16:00,17/Mar/22 12:00 AM,04/May/22 2:55 AM,Ineos,Service Request (SR),374847,2022-03-11 01:16:00,2022-04-19 09:58:00,39 days 08:42:00.000000000,944.7
1315,CI-6585,374832,Closed,aruizrobles,2022-03-10 16:46:00,18/Mar/22 12:00 AM,25/Mar/22 2:49 PM,Numiga,Service Request (SR),374832,2022-03-10 16:46:00,2022-03-24 12:05:00,13 days 19:19:00.000000000,331.32
1316,CI-6584,374800,Closed,msarrieshor,2022-03-10 15:05:00,14/Mar/22 12:00 AM,15/Mar/22 1:38 PM,Endress Hauser,Service Request (SR),374800,2022-03-10 15:05:00,2022-03-14 13:26:00,3 days 22:21:00.000000000,94.35
1317,CI-6583,374716,Closed,klippert,2022-03-10 12:09:00,11/Mar/22 12:00 AM,21/Apr/22 12:19 PM,Rheinmetall,Service Request (SR),374716,2022-03-10 12:09:00,2022-04-21 12:16:00,42 days 00:07:00.000000000,1008.12
1318,CI-6582,374685,Closed,ssanz,2022-03-10 11:11:00,15/Mar/22 12:00 AM,10/May/22 7:16 PM,Porsche,Incident Request (IR),374685,2022-03-10 11:11:00,2022-05-10 13:06:00,61 days 01:55:00.000000000,1465.92
1319,CI-6581,374624,Closed,guinoo,2022-03-10 08:55:00,15/Mar/22 12:00 AM,26/Apr/22 8:54 AM,Lufthansa City Center,Service Request (SR),374624,2022-03-10 08:55:00,,,
1320,CI-6580,374523,Closed,mkuchciak,2022-03-09 15:43:00,08/Apr/22 12:00 AM,31/Mar/22 9:24 AM,Customer not yet listed,Service Request (SR),374523,2022-03-09 15:43:00,,,
1321,CI-6579,374521,Closed,mkuchciak,2022-03-09 15:39:00,01/Apr/22 12:00 AM,31/Mar/22 9:23 AM,Customer not yet listed,Service Request (SR),374521,2022-03-09 15:39:00,,,
1322,CI-6578,374515,Closed,mkuchciak,2022-03-09 15:37:00,01/Apr/22 12:00 AM,31/Mar/22 9:23 AM,Customer not yet listed,Service Request (SR),374515,2022-03-09 15:37:00,,,
1323,CI-6577,374510,Closed,mueller,2022-03-09 15:28:00,18/Mar/22 12:00 AM,10/Mar/22 12:47 PM,Porsche,Project,374510,2022-03-09 15:28:00,2022-03-10 12:38:00,0 days 21:10:00.000000000,21.17
1324,CI-6575,374442,Closed,mkuchciak,2022-03-09 14:06:00,01/Apr/22 12:00 AM,31/Mar/22 9:23 AM,Customer not yet listed,Service Request (SR),374442,2022-03-09 14:06:00,,,
1325,CI-6574,374439,Closed,mkuchciak,2022-03-09 13:55:00,01/Apr/22 12:00 AM,31/Mar/22 9:22 AM,Customer not yet listed,Service Request (SR),374439,2022-03-09 13:55:00,,,
1326,CI-6573,374434,Closed,mkuchciak,2022-03-09 13:48:00,01/Apr/22 12:00 AM,31/Mar/22 9:22 AM,Customer not yet listed,Service Request (SR),374434,2022-03-09 13:48:00,,,
1327,CI-6572,374430,Closed,mkuchciak,2022-03-09 13:40:00,01/Apr/22 12:00 AM,31/Mar/22 9:21 AM,Customer not yet listed,Service Request (SR),374430,2022-03-09 13:40:00,,,
1328,CI-6571,374424,Closed,mkuchciak,2022-03-09 13:30:00,01/Apr/22 12:00 AM,31/Mar/22 9:21 AM,Customer not yet listed,Service Request (SR),374424,2022-03-09 13:30:00,,,
1329,CI-6570,374418,Closed,mkuchciak,2022-03-09 13:19:00,01/Apr/22 12:00 AM,31/Mar/22 9:21 AM,Customer not yet listed,Service Request (SR),374418,2022-03-09 13:19:00,,,
1330,CI-6569,374414,Closed,mkuchciak,2022-03-09 13:13:00,01/Apr/22 12:00 AM,31/Mar/22 9:20 AM,Customer not yet listed,Service Request (SR),374414,2022-03-09 13:13:00,,,
1331,CI-6568,374405,Closed,mkuchciak,2022-03-09 12:53:00,01/Apr/22 12:00 AM,31/Mar/22 9:20 AM,Customer not yet listed,Service Request (SR),374405,2022-03-09 12:53:00,,,
1332,CI-6567,374401,Closed,mkuchciak,2022-03-09 12:44:00,01/Apr/22 12:00 AM,31/Mar/22 9:19 AM,Customer not yet listed,Service Request (SR),374401,2022-03-09 12:44:00,,,
1333,CI-6566,374395,Closed,mkuchciak,2022-03-09 12:38:00,01/Apr/22 12:00 AM,16/Mar/22 12:04 PM,Customer not yet listed,Service Request (SR),374395,2022-03-09 12:38:00,2022-03-16 12:04:00,6 days 23:26:00.000000000,167.43
1334,CI-6565,374388,Closed,mkuchciak,2022-03-09 12:28:00,01/Apr/22 12:00 AM,15/Mar/22 11:18 AM,Customer not yet listed,Service Request (SR),374388,2022-03-09 12:28:00,2022-03-15 11:18:00,5 days 22:50:00.000000000,142.83
1335,CI-6563,374257,Closed,guinoo,2022-03-09 06:09:00,23/Mar/22 12:00 AM,08/Apr/22 2:07 AM,Burda,Service Request (SR),374257,2022-03-09 06:09:00,2022-04-07 10:09:00,29 days 04:00:00.000000000,700.0
