Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,time_in_review,time_on_codebusters,time_outside_codebusters
CI-8310,456082,Closed,shimizu,2023-03-15 07:32:00,22/Mar/23 12:00 AM,2023-03-28 07:40:00,Product Management,Service Request (SR),456082.0,88.0,784.0,17944.0
CI-8309,456072,Closed,yutaka,2023-03-15 02:50:00,29/Mar/23 12:00 AM,2023-03-15 08:51:00,Porsche,Service Request (SR),456072.0,0.0,23.0,338.0
CI-8308,456070,Closed,yutaka,2023-03-15 01:40:00,22/Mar/23 12:00 AM,2023-03-16 14:04:00,Rewe Group,Service Request (SR),456070.0,489.00000000000006,1354.0,830.0
CI-8305,455867,Closed,nsanchez,2023-03-14 13:14:00,16/Mar/23 12:00 AM,2023-03-21 11:18:00,Amadeus,Service Request (SR),455867.0,7.0,9784.0,180.0
CI-8301,455603,Closed,yutaka,2023-03-14 01:29:00,17/Mar/23 12:00 AM,2023-03-15 00:20:00,dm-drogerie markt,Service Request (SR),455603.0,11.0,11.0,1360.0
CI-8298,455381,Closed,dgenov,2023-03-13 13:50:00,17/Mar/23 12:00 AM,2023-03-30 10:19:00,i:FAO,Incident Request (IR),455381.0,22887.0,22887.0,1382.0
CI-8281,454588,Closed,rohkamm,2023-03-09 11:53:00,09/Mar/23 12:00 AM,2023-03-09 13:39:00,Allianz,Incident Request (IR),454588.0,74.0,86.0,20.0
CI-8278,454255,Closed,aruizrobles,2023-03-08 15:56:00,09/Mar/23 12:00 AM,2023-03-28 17:59:00,Conovum,Service Request (SR),454255.0,26.0,2769.0,4412.0
CI-8278,454255,Closed,aruizrobles,2023-03-08 15:56:00,09/Mar/23 12:00 AM,2023-03-28 17:59:00,Conovum,Service Request (SR),454255.0,1167.0,2769.0,4412.0
CI-8275,453976,Closed,aruizrobles,2023-03-07 16:47:00,08/Mar/23 12:00 AM,2023-03-09 16:42:00,Conovum,Service Request (SR),453976.0,954.0,2289.0,586.0
CI-8273,453848,Closed,ssanz,2023-03-07 13:31:00,08/Mar/23 12:00 AM,2023-04-10 10:50:00,Allianz,Incident Request (IR),453848.0,22.0,31408.000000000004,5721.0
CI-8272,453603,Closed,yutaka,2023-03-07 02:13:00,21/Mar/23 12:00 AM,2023-03-16 07:38:00,Spiegel,Service Request (SR),453603.0,247.00000000000003,1882.0,0.0
CI-8271,453554,Closed,achattopadhyay,2023-03-06 16:23:00,09/Mar/23 12:00 AM,2023-03-10 17:55:00,Endress Hauser,Incident Request (IR),453554.0,1157.0,1399.0,1368.0
CI-8263,453231,Closed,nsanchez,2023-03-06 09:39:00,07/Mar/23 12:00 AM,2023-03-10 13:31:00,Amadeus,Service Request (SR),453231.0,1506.0,1639.0,2672.0
CI-8260,453010,Closed,aruizrobles,2023-03-03 17:56:00,10/Mar/23 12:00 AM,2023-03-21 10:14:00,Numiga,Service Request (SR),453010.0,9443.0,20678.0,388.0
