Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,time_in_review,time_on_codebusters,time_outside_codebusters
CI-7473,417858,Closed,nsanchez,2022-09-29 12:42:00,06/Oct/22 12:00 AM,2022-10-06 16:27:00,Traton SE,Incident Request (IR),417858.0,10113.0,10294.0,11.0
CI-7472,417808,Closed,ssanz,2022-09-29 11:00:00,06/Oct/22 12:00 AM,2022-10-03 12:53:00,Allianz,Incident Request (IR),417808.0,286.0,286.0,5587.0
CI-7469,417657,Closed,nsanchez,2022-09-28 13:55:00,06/Oct/22 12:00 AM,2022-10-13 10:26:00,EnBW,Incident Request (IR),417657.0,6931.0,12936.0,8455.000000000002
CI-7462,417367,Closed,nsanchez,2022-09-27 14:48:00,06/Oct/22 12:00 AM,2022-10-05 11:53:00,Vaillant,Incident Request (IR),417367.0,1150.0,2538.0,8807.0
CI-7420,415068,Closed,yutaka,2022-09-16 10:20:00,22/Sep/22 12:00 AM,2022-10-13 10:32:00,Endress Hauser,Incident Request (IR),415068.0,8721.000000000002,24520.0,14372.0
CI-7397,413899,Closed,yutaka,2022-09-13 06:08:00,16/Sep/22 12:00 AM,2022-10-03 01:57:00,Universal Investment,Incident Request (IR),413899.0,623.0,1395.0,27154.0
CI-7396,413889,Closed,yutaka,2022-09-13 01:54:00,15/Sep/22 12:00 AM,2022-09-20 09:58:00,Endress Hauser,Incident Request (IR),413889.0,854.0,10548.0,16.000000000000004
CI-7395,413842,Closed,ssanz,2022-09-12 16:16:00,19/Sep/22 12:00 AM,2022-10-03 13:20:00,Egis,Incident Request (IR),413842.0,5374.0,15379.0,14685.0
CI-7380,412555,Closed,nsanchez,2022-09-06 09:50:00,13/Sep/22 12:00 AM,2022-10-13 10:22:00,Fiege,Incident Request (IR),412555.0,13132.0,14498.0,38814.0
CI-7375,411778,Closed,ebert,2022-09-01 12:49:00,15/Sep/22 12:00 AM,2023-01-27 11:47:00,OBB,Incident Request (IR),411778.0,7033.0,107216.0,105842.0
CI-7373,411758,Closed,ebert,2022-09-01 12:11:00,15/Sep/22 12:00 AM,2023-02-13 06:41:00,OBB,Incident Request (IR),411758.0,7071.0,105359.0,131911.00000000003
CI-7364,411179,Closed,nsanchez,2022-08-30 13:12:00,08/Sep/22 12:00 AM,2022-09-26 13:06:00,EnBW,Incident Request (IR),411179.0,11694.0,32953.00000000001,5921.0
CI-7361,410979,Closed,yutaka,2022-08-30 06:51:00,02/Sep/22 12:00 AM,2023-01-06 01:37:00,Amadeus,Incident Request (IR),410979.0,218.0,157780.0,27666.0
CI-7330,410378,Closed,nsanchez,2022-08-25 12:52:00,25/Aug/22 12:00 AM,2022-08-26 15:09:00,Allianz,Incident Request (IR),410378.0,1256.0,1529.0,48.0
CI-7309,410021,Closed,ssanz,2022-08-24 12:37:00,31/Aug/22 12:00 AM,2022-10-06 09:58:00,Allianz,Incident Request (IR),410021.0,2927.0,22277.0,39484.0
CI-7302,409785,Closed,ssanz,2022-08-23 10:54:00,30/Aug/22 12:00 AM,2022-09-08 14:24:00,Allianz,Incident Request (IR),409785.0,4533.0,8708.000000000002,14542.0
CI-7244,408494,Closed,ssanz,2022-08-16 10:53:00,19/Aug/22 12:00 AM,2022-08-16 11:27:00,Allianz,Incident Request (IR),408494.0,2.0000000000000004,9.0,25.0
CI-7241,408471,Closed,nsanchez,2022-08-16 09:46:00,22/Aug/22 12:00 AM,2022-08-26 09:49:00,OBB,Incident Request (IR),408471.0,14403.0,14403.0,0.0
CI-7239,408456,Closed,nsanchez,2022-08-16 08:45:00,18/Aug/22 12:00 AM,2022-08-24 09:41:00,OBB,Incident Request (IR),408456.0,1147.0,5860.0,3915.0000000000005
CI-7239,408456,Closed,nsanchez,2022-08-16 08:45:00,18/Aug/22 12:00 AM,2022-08-24 09:41:00,OBB,Incident Request (IR),408456.0,3066.0,5860.0,3915.0000000000005
CI-7228,407673,Closed,ssanz,2022-08-10 11:55:00,17/Aug/22 12:00 AM,2022-09-02 12:06:00,Egis,Incident Request (IR),407673.0,2792.0,20597.0,12534.0
CI-7228,407673,Closed,ssanz,2022-08-10 11:55:00,17/Aug/22 12:00 AM,2022-09-02 12:06:00,Egis,Incident Request (IR),407673.0,17328.000000000004,20597.0,12534.0
CI-7222,407295,Closed,yutaka,2022-08-09 03:49:00,12/Aug/22 12:00 AM,2022-09-22 04:09:00,Amadeus,Incident Request (IR),407295.0,10453.0,55294.0,8086.000000000001
CI-7216,406867,Closed,ssanz,2022-08-05 15:32:00,12/Aug/22 12:00 AM,2022-08-30 12:55:00,Allianz,Incident Request (IR),406867.0,7073.0,8894.0,26949.0
CI-7208,406588,Closed,ssanz,2022-08-04 13:57:00,11/Aug/22 12:00 AM,2022-08-30 12:53:00,Allianz,Incident Request (IR),406588.0,8533.000000000002,28078.0,9298.0
CI-7204,406493,Closed,nsanchez,2022-08-04 09:53:00,15/Aug/22 12:00 AM,2022-09-01 10:03:00,OBB,Incident Request (IR),406493.0,1413.0,19777.0,20553.0
CI-7116,402716,Closed,yutaka,2022-07-14 13:41:00,15/Jul/22 12:00 AM,2022-07-26 07:18:00,Transnet BW,Incident Request (IR),402716.0,1.0000000000000002,8.000000000000002,16889.000000000004
CI-7101,402477,Closed,yutaka,2022-07-13 09:02:00,27/Jul/22 12:00 AM,2022-09-14 03:54:00,Endress Hauser,Incident Request (IR),402477.0,19020.0,36063.0,54349.0
