,Parent id,time_in_review
67,361823,20 days 20:55:00.000000000
68,361826,28 days 06:31:00.000000000
69,361828,28 days 19:34:00.000000000
70,361830,28 days 21:52:00.000000000
71,361832,29 days 00:02:00.000000000
72,361834,28 days 23:56:00.000000000
73,361837,36 days 18:56:00.000000000
74,361839,38 days 07:08:00.000000000
75,361842,38 days 07:48:00.000000000
76,361844,41 days 07:25:00.000000000
77,361846,42 days 22:22:00.000000000
78,361870,0 days 11:56:00.000000000
79,361875,2 days 12:18:00.000000000
80,361888,9 days 04:39:00.000000000
81,361976,0 days 01:49:00.000000000
82,361985,0 days 01:28:00.000000000
83,362030,22 days 08:31:00.000000000
84,362068,15 days 12:32:00.000000000
85,362070,22 days 16:42:00.000000000
86,362115,15 days 14:33:00.000000000
87,362118,0 days 05:26:00.000000000
88,362196,0 days 21:16:00.000000000
89,362245,0 days 00:02:00.000000000
90,362353,6 days 16:23:00.000000000
91,362387,15 days 14:15:00.000000000
92,362395,0 days 00:00:00.000000000
93,362667,0 days 00:00:00.000000000
94,362679,32 days 09:37:00.000000000
95,362744,20 days 01:29:00.000000000
96,362783,3 days 22:51:00.000000000
97,362798,3 days 21:09:00.000000000
98,362813,4 days 04:13:00.000000000
99,362815,5 days 17:47:00.000000000
100,362917,13 days 19:57:00.000000000
101,362919,13 days 19:32:00.000000000
102,362933,11 days 17:04:00.000000000
103,362936,15 days 19:06:00.000000000
104,362938,20 days 20:25:00.000000000
105,362940,0 days 00:18:00.000000000
106,362947,0 days 00:18:00.000000000
107,362957,0 days 00:01:00.000000000
108,362960,0 days 02:45:00.000000000
109,362963,0 days 07:56:00.000000000
110,362995,370 days 21:57:00.000000000
111,363207,23 days 19:56:00.000000000
112,363224,0 days 10:30:00.000000000
113,363245,8 days 20:54:00.000000000
114,363258,15 days 10:16:00.000000000
115,363282,6 days 12:56:00.000000000
116,363304,0 days 00:00:00.000000000
117,363351,6 days 05:05:00.000000000
118,363473,0 days 01:42:00.000000000
119,363478,19 days 16:55:00.000000000
120,363522,8 days 15:14:00.000000000
121,363524,8 days 18:06:00.000000000
122,363526,13 days 18:25:00.000000000
123,363528,14 days 15:52:00.000000000
124,363530,14 days 15:46:00.000000000
125,363532,15 days 12:13:00.000000000
126,363534,21 days 18:50:00.000000000
127,363536,22 days 11:46:00.000000000
128,363538,22 days 11:45:00.000000000
129,363540,27 days 15:16:00.000000000
130,363542,29 days 10:46:00.000000000
131,363544,29 days 19:19:00.000000000
132,363546,30 days 11:23:00.000000000
133,363548,40 days 11:24:00.000000000
134,363553,0 days 00:16:00.000000000
135,363560,5 days 18:45:00.000000000
136,363563,12 days 03:55:00.000000000
137,363571,0 days 00:00:00.000000000
138,363590,0 days 00:31:00.000000000
139,363611,7 days 01:23:00.000000000
140,363720,0 days 00:03:00.000000000
141,363771,351 days 16:55:00.000000000
142,363803,0 days 00:01:00.000000000
143,363949,21 days 02:19:00.000000000
144,363968,8 days 01:25:00.000000000
145,364000,14 days 10:30:00.000000000
146,364180,0 days 00:00:00.000000000
147,364263,6 days 00:22:00.000000000
148,364380,30 days 16:46:00.000000000
149,364396,3 days 00:55:00.000000000
150,364402,29 days 02:29:00.000000000
151,364470,60 days 19:54:00.000000000
152,364677,6 days 05:25:00.000000000
153,364733,11 days 08:10:00.000000000
154,364743,21 days 08:47:00.000000000
155,364750,0 days 00:03:00.000000000
156,364885,0 days 00:00:00.000000000
157,364986,12 days 23:18:00.000000000
158,365070,0 days 00:08:00.000000000
159,365123,6 days 08:54:00.000000000
160,365161,13 days 11:16:00.000000000
161,365196,1 days 02:50:00.000000000
162,365312,0 days 16:52:00.000000000
163,365381,2 days 06:36:00.000000000
164,365404,12 days 11:59:00.000000000
165,365443,14 days 12:52:00.000000000
166,365543,2 days 15:57:00.000000000
167,365553,1 days 03:30:00.000000000
